PSRJ,RA,Dec,l,b,Period,Pdot,Edot,DM,DIST,TS,Edot/D2
J1551-0658,237.42058749999998,21.224138888888888,34.62543048238044,49.12870007379277,0.00709,0.0,0.0,21.6,1.325,2.512400791514665,0.0
J1554+18,237.78006249999999,-6.968472222222222,1.494437402429354,34.76498981212917,0.0,0.0,0.0,24.0,2.753,1.9252909215865657,0.0
J1555+01,238.5708333333333,18.066666666666666,30.685414557585975,47.07335399890879,0.0,0.0,0.0,18.5,1.253,-0.00041605811566114426,0.0
J1555-0515,238.99166666666665,1.1333333333333333,10.447840723566836,38.73044658743482,0.97540989108,2.054e-15,8.73773180398896e+31,23.46,1.548,3.2192491453606635,3.6463369438889885e+31
J1555-2341,238.9170708333333,-5.265944444444444,3.972854096833738,34.96931183745283,0.5325777412091406,6.937016984211578e-16,1.8129401218330888e+32,51.901,3.747,0.4181573218666017,1.2912670653082123e+31
J1603+18,238.88826583333332,-23.686077722222223,348.4411802348475,22.499948702273514,0.503,0.0,0.0,29.7,25.0,-5.820766091346741e-10,0.0
J1605+3249,240.89166666666665,18.85,32.84879858522768,45.27985107618163,6.88,0.0,0.0,0.0,0.0,2.3283064365386963e-07,0.0
J1607-0032,241.3271666666666,32.82166666666667,52.88030801297473,47.992079415115036,0.42181623358257625,3.0609257016367315e-16,1.6100622077841779e+32,10.6823,1.0869486195975655,8.772028988343664,1.3627764672852232e+32
J1609-1930,241.80024916666665,-0.5448686111111111,10.715163453806,35.46574185029998,1.55791724762,5.09e-16,5.314279143325949e+30,37.0,1.791,8.309163259342313,1.656735549241321e+30
J1610-1322,242.2722916666666,-19.502222222222223,354.0733910097992,23.177638063299092,1.0183927463615343,2.298370021803987e-16,8.590803652676234e+30,49.13,3.247,-1.3969838619232178e-09,8.148341382119881e+29
J1610-17,242.67822541666663,-13.372866416666668,359.42677951437116,26.948799085440676,0.0,0.0,0.0,52.5,3.768,26.34296277258545,0.0
J1611-01,242.54583333333332,-17.833333333333332,355.6108475152803,24.109757150776197,1.29687,0.0,0.0,27.21,2.015,4.713948285439983,0.0
J1612+2008,242.74999999999997,-1.4666666666666668,10.447401345748721,34.160706378147765,0.4266459810253,3.727e-17,1.8945939780724564e+31,19.5082,1.74,0.5074927908135578,6.257742033533017e+30
J1614+0737,243.09763333333328,20.138424999999998,35.51802628661601,43.74293336160841,1.2068014363967932,2.3595679643806465e-15,5.300108650802013e+31,21.3949,1.626,-2.916553057730198e-05,2.0046736877228785e+31
J1623-0841,243.67043916666663,7.625280666666667,20.632879757182796,38.162929795076195,0.5030150056,1.9556e-15,6.065923694133092e+32,59.79,4.643,2.066599232610315,2.813841143325025e+31
J1623-0908,245.92784458333327,-8.6935,5.7741551440608045,27.367396591849396,1.276445819515507,2.580711066826483e-15,4.898825445463584e+31,68.183,1.6666545500496004,5.624023120384663,1.763602802953464e+31
J1624+5850,245.8235829166666,-9.146870277777778,5.296623935218355,27.177663655834095,0.65180081878,3.31e-16,4.718924461991099e+31,26.403,3.187,-1.979060471057892e-09,4.6459967161375596e+30
J1624+8643,246.00401666666664,58.83771388888889,89.1978579013252,41.79111177850235,0.39576302203831243,2.545211006209589e-16,1.6209808656876098e+32,46.43,8.854,4.096202329616062,2.0677539213771876e+30
J1627+1419,246.13627416666662,86.72033311111112,119.9249150595729,29.057177622863737,0.490856730096,3.93e-16,1.3118616525558871e+32,32.16696,4.325,3.9482583871576935,7.013193371276753e+30
J1628+4406,246.82816249999996,14.322416666666667,30.029846569525997,38.31937397154219,0.18117848994714758,1.937763488599216e-17,1.2862950500913579e+32,7.32981,0.54,0.9021798472385854,4.411162723221391e+32
J1631-1612,247.20962458333327,44.111834583333334,69.23852981355705,43.6157611601614,0.67768391249,1.096e-15,1.3902367437793252e+32,33.77,0.839,-8.016964420676231e-05,1.974989727226955e+32
J1632-1013,247.96862499999997,-16.214444444444442,0.5769569846844508,21.19301334473715,0.71763732795,6.6e-17,7.049991783282028e+30,89.9,10.272,-0.00013774726539850235,6.681571025961855e+28
J1635+2332,248.22583333333333,-10.221666666666668,5.910338478762934,24.63643722267588,1.2086942458,8.63e-16,1.9293950887409571e+31,37.568,25.0,-0.0009921274613589048,3.0870321419855315e+28
J1635+2418,248.7723333333333,23.53977777777778,41.998279719129755,39.7472194554271,0.4905065128003319,1.1931668526224496e-16,3.9914122131794225e+31,24.2671,2.433,2.254553734557703,6.742832384990364e+30
J1635-1511,248.8574179166666,24.31314216666667,42.9933223708221,39.888753194784925,1.17938703902,2.32e-16,5.583141944055894e+30,54.0,1.445,-1.417938619852066e-06,2.673886540657269e+30
J1638+4005,248.9473333333333,-15.197777777777778,2.057909743633056,21.078109433195063,0.76772039193,1.83e-16,1.5966201186489799e+31,33.417,25.0,0.10349729435984045,2.554592189838368e+28
J1643+1338,249.56767916666664,40.09899166666667,63.77407403409204,41.8656856174596,1.09904716266,7.78e-16,2.313611026786208e+31,35.821,4.641,1.1330175454495475,1.0741556289698653e+30
J1643-1224,250.97558333333328,13.645527777777778,31.259586864479935,34.36033601221268,0.00462164152493627,1.846171747088023e-20,7.383173381982451e+33,62.4143,0.74,6.4142780946567655,1.3482785577031504e+34
